# TinyMPC OnlineRelin FlatTemplate AnalyticTemplate
5.947462916672725808e-02 1.097042476209590112e-01 1.804870553054688798e-01 2.023905809920206467e-01
5.453430196335649904e-02 1.038801996597083638e-01 1.739479719316665840e-01 1.955327205468485596e-01
4.994011110032706841e-02 9.838760556773923360e-02 1.676433629281989524e-01 1.887902013411057733e-01
4.567521951680860587e-02 9.321939306299183159e-02 1.615807156865531613e-01 1.821799753591351878e-01
4.172255737401665138e-02 8.836708068806929661e-02 1.557650508537724021e-01 1.757174432959915378e-01
3.806502277631952647e-02 8.382095275042690530e-02 1.501990891271606787e-01 1.694164319155974652e-01
3.468565471825901109e-02 7.957022409579829481e-02 1.448834256782453589e-01 1.632891813274869319e-01
3.156777885990180027e-02 7.560319738415087476e-02 1.398167108098107847e-01 1.573463412271570439e-01
2.869512689569153965e-02 7.190741484665963412e-02 1.349958349082589215e-01 1.515969753696334577e-01
2.605193079547702198e-02 6.846980565754594295e-02 1.304161162631320980e-01 1.460485737832923625e-01
2.362299404456721236e-02 6.527683009083526389e-02 1.260714909270815864e-01 1.407070724721642407e-01
2.139374309184602016e-02 6.231462163281899225e-02 1.219547030104997237e-01 1.355768805884604855e-01
1.935026302682758478e-02 5.956912666438016896e-02 1.180574936087804422e-01 1.306609152689486297e-01
1.747931976540295293e-02 5.702624093469451511e-02 1.143707864184367734e-01 1.259606445027856847e-01
1.576836979529922661e-02 5.467194177679803729e-02 1.108848679807427212e-01 1.214761385167796859e-01
1.420556003997353739e-02 5.249241418097719963e-02 1.075895604389090349e-01 1.172061302091538387e-01
1.277972140203873647e-02 5.047416828912245496e-02 1.044743847330132647e-01 1.131480851193672615e-01
1.148035552706249025e-02 4.860414599411121833e-02 1.015287122977870521e-01 1.092982812789549951e-01
1.029761689050975870e-02 4.686981467534408197e-02 9.874190357057140155e-02 1.056518990438775618e-01
9.222291380825173995e-03 4.525924612863692353e-02 9.610343194734359551e-02 1.022031206696822347e-01
8.245772350226261357e-03 4.376117942173626124e-02 9.360299222166246214e-02 9.894523897532923884e-02
7.360034871901461294e-03 4.236506717867121602e-02 9.123059297684649183e-02 9.587077397937945888e-02
6.557608869480246842e-03 4.106110537013277217e-02 8.897663284574233722e-02 9.297159592199816247e-02
5.831551610776289710e-03 3.984024729430706013e-02 8.683196097650069945e-02 9.023905265174451962e-02
5.175420066887118260e-03 3.869420305623224449e-02 8.478792241393974527e-02 8.766409900124955135e-02
4.583243871207161833e-03 3.761542631167021089e-02 8.283638937062988428e-02 8.523742553874548433e-02
4.049497270801020489e-03 3.659709025987968600e-02 8.096977983521434774e-02 8.294958399007484884e-02
3.569072631326600329e-03 3.563305498462151361e-02 7.918106496342887379e-02 8.079110669052945448e-02
3.137255257523895256e-03 3.471782825412277756e-02 7.746376661180752465e-02 7.875261764349920923e-02
2.749697635614785796e-03 3.384652178052634935e-02 7.581194661110918220e-02 7.682493311382797285e-02
2.402395573994773898e-03 3.301480473344703404e-02 7.422018933599995594e-02 7.499915013605197578e-02
2.091665978220389171e-03 3.221885606997253876e-02 7.268357902792424441e-02 7.326672183182481035e-02
1.814124708276087811e-03 3.145531698272953369e-02 7.119767320442807468e-02 7.161951896504815951e-02
1.566664975173408117e-03 3.072124450393797640e-02 6.975847334697955759e-02 7.004987767851175717e-02
1.346437801516433110e-03 3.001406705951087037e-02 6.836239390827762719e-02 6.855063381983747539e-02
1.150834131017831018e-03 2.933154255022383736e-02 6.700623052391617429e-02 6.711514465392337536e-02
9.774670424926746194e-04 2.867171933597473243e-02 6.568712814865644567e-02 6.573729906047445781e-02
8.241545053029622437e-04 2.803290033753897889e-02 6.440254976977315138e-02 6.441151752450587076e-02
6.889040094002176406e-04 2.741361034476542599e-02 6.315024615776565486e-02 6.313274334862649384e-02
5.698987047570882973e-04 2.681256651961719598e-02 6.192822695147336826e-02 6.189642655792271936e-02
4.654837004111099584e-04 2.622865200156920470e-02 6.073473334688250791e-02 6.069850194438797253e-02
3.741532337504407772e-04 2.566089246256191003e-02 5.956821256938146791e-02 5.953536262268527973e-02
2.945385749730942602e-04 2.510843542965498706e-02 5.842729423046528342e-02 5.840383035715206866e-02
2.253975945616294599e-04 2.457053217455292676e-02 5.731076860835606496e-02 5.730112378473033868e-02
1.656062950562171431e-04 2.404652194600056386e-02 5.621756684359287964e-02 5.622482551140707552e-02
1.141531812163750116e-04 2.353581831789887738e-02 5.514674300159164849e-02 5.517284891003342712e-02
7.014592997836798210e-05 2.303789744460511477e-02 5.409745794322051021e-02 5.414340530206120800e-02
3.290867953421760975e-05 2.255228801732854851e-02 5.306896490481228384e-02 5.313497206971300874e-02
6.334043670710421843e-06 2.207856273085380405e-02 5.206059666970075384e-02 5.214626212151712847e-02
2.686898553796418618e-05 2.161633106614840524e-02 5.107175422413549881e-02 5.117619502465295400e-02
4.867442138893341282e-05 2.116523321508123959e-02 5.010189678405722186e-02 5.022387002270978229e-02
6.676168886507307732e-05 2.072493500835624614e-02 4.915053307615722955e-02 4.928854107698408399e-02
8.145898195727175294e-05 2.029512371588976238e-02 4.821721375895966777e-02 4.836959400249856572e-02
9.317409891513893708e-05 1.987550457972132173e-02 4.730152487172045034e-02 4.746652571535398685e-02
1.022872442180970443e-04 1.946579796439436294e-02 4.640308219902795905e-02 4.657892556447921356e-02
1.091411517304590660e-04 1.906573704501896699e-02 4.552152645152023058e-02 4.570645868693338360e-02
1.140425508702095183e-04 1.867506594749982624e-02 4.465651917130009085e-02 4.484885130027283645e-02
1.172654383109314100e-04 1.829353827162351689e-02 4.380773927602612389e-02 4.400587782684754062e-02
1.190543865978578413e-04 1.792091591580761284e-02 4.297488016243310865e-02 4.317734973207358606e-02
1.196275101517754226e-04 1.755696814505375639e-02 4.215764729971208796e-02 4.236310595071087620e-02
1.191790395609477034e-04 1.720147088487878478e-02 4.135575624112586279e-02 4.156300477105704522e-02
1.178815437551120277e-04 1.685420617251345149e-02 4.056893099150434001e-02 4.077691704598074285e-02
1.158878606060033281e-04 1.651496161989540398e-02 3.979690268502879963e-02 4.000472060120480872e-02
1.133327959491826675e-04 1.618353025064366360e-02 3.903940852693505575e-02 3.924629571466518863e-02
1.103346434243844554e-04 1.585971037061855576e-02 3.829619095780239374e-02 3.850152154565743279e-02
1.069965679923810510e-04 1.554330523908500558e-02 3.756699700737613223e-02 3.777027339846301263e-02
1.034078864797695899e-04 1.523412294185915068e-02 3.685157779790933230e-02 3.705242071191063025e-02
9.964534978425438911e-05 1.493197630375638768e-02 3.614968816756648773e-02 3.634782567361968808e-02
9.577508732189913881e-05 1.463668282468988391e-02 3.546108639934249240e-02 3.565634236528408829e-02
9.185374287997367167e-05 1.434806462942938080e-02 3.478553403342687922e-02 3.497781635311521253e-02
8.792861806857764373e-05 1.406594842385461980e-02 3.412279575262261444e-02 3.431208464533382768e-02
