# TinyMPC OnlineRelin FlatTemplate AnalyticTemplate
3.528070097829346524e-02 3.657500608810689696e-02 1.655622484573731831e-02 1.664219608410920023e-02
3.429913663577134619e-02 3.582315039864758521e-02 1.625620336762587451e-02 1.636077971521490357e-02
3.330336087134099649e-02 3.511858982381400873e-02 1.593829922748757344e-02 1.606152483880568527e-02
3.229414171534328998e-02 3.446058451612845491e-02 1.561049722535387714e-02 1.575242192425397106e-02
3.127133481027688511e-02 3.384646944446492028e-02 1.528083380296034813e-02 1.544273173834537563e-02
3.023404960947834869e-02 3.327186620510838577e-02 1.495968893090103037e-02 1.514289284816446902e-02
2.918083208958543312e-02 3.273094863584913305e-02 1.466033608897539427e-02 1.486434080195467820e-02
2.810985160758593115e-02 3.221674220680822293e-02 1.439619577056330986e-02 1.461920916047021284e-02
2.701908062560349350e-02 3.172143664418527326e-02 1.418046438439643335e-02 1.441988786802412929e-02
2.590645803878515244e-02 3.123669301261395095e-02 1.402563847949369995e-02 1.427843221493862655e-02
2.477003047075520062e-02 3.075392998625233951e-02 1.394288206889473733e-02 1.420584824211680412e-02
2.360806836507994486e-02 3.026457849781433868e-02 1.394131344630081086e-02 1.421132371647420255e-02
2.241915599962212083e-02 2.976029857578161783e-02 1.402733482316207564e-02 1.430151413582765423e-02
2.120225643731961027e-02 2.923315632921996352e-02 1.420403000264968893e-02 1.448001035072049580e-02
1.995675378136258643e-02 2.867576232886660109e-02 1.447154738125845663e-02 1.474709217681318373e-02
1.868247593070826787e-02 2.808137492377454220e-02 1.482687856326191447e-02 1.509981187875026470e-02
1.737970140668932892e-02 2.744397338263492026e-02 1.526384024463751585e-02 1.553237472608474251e-02
1.604915385872435901e-02 2.675830633783018997e-02 1.577383289956410528e-02 1.603672232459024335e-02
1.469198770251403142e-02 2.601992107087428355e-02 1.634664014725283748e-02 1.660319967964877380e-02
1.330976818125251433e-02 2.522517894699659313e-02 1.697115393646838472e-02 1.722119996048687360e-02
1.190444924252109446e-02 2.437126200153667127e-02 1.763596453665708039e-02 1.787971656206101614e-02
1.047835352444222851e-02 2.345617549907840632e-02 1.832979729081673018e-02 1.856777154179494599e-02
9.034161789560313585e-03 2.247875142665041112e-02 1.904180812109647347e-02 1.927472020455877830e-02
7.574928446205090107e-03 2.143865858875106459e-02 1.976176481876843610e-02 1.999044941993990965e-02
6.104170350616723931e-03 2.033642661222933440e-02 2.048014458452201980e-02 2.070549395644677090e-02
4.626195554435490187e-03 1.917349437834893131e-02 2.118887091689767438e-02 2.141109466601596664e-02
3.147462717733470923e-03 1.795229935844562530e-02 2.188023067255848511e-02 2.209921843940829481e-02
1.685251047948972724e-03 1.667643533300057837e-02 2.254620603605294801e-02 2.276255497999345526e-02
4.742750992095305868e-04 1.535092664227974066e-02 2.317975753816177431e-02 2.339450094067882513e-02
1.428453102648907704e-03 1.398270707158747773e-02 2.377476262324295514e-02 2.398913835355586527e-02
2.867507287800098031e-03 1.258147136665408242e-02 2.432591657609396024e-02 2.454121161972553852e-02
4.320243965790348389e-03 1.116123239468647804e-02 2.482865121789585086e-02 2.504610548376417709e-02
5.763546413098665985e-03 9.743264654975368824e-03 2.528113989172877524e-02 2.549982520373834591e-02
7.190164888334660796e-03 8.361831129259863354e-03 2.568116791617616398e-02 2.589897936475075990e-02
8.595571270334589550e-03 7.075330894129953571e-03 2.602428407335698884e-02 2.624076532797123620e-02
9.976155981045899471e-03 5.985921513932493734e-03 2.630720721825495143e-02 2.652295705141023002e-02
1.132881619517192920e-02 5.259790594456635257e-03 2.652682085457276628e-02 2.674389488887619210e-02
1.265084750783960696e-02 5.093285790149552905e-03 2.668105998085396405e-02 2.690247691922182174e-02
1.393992484741915505e-02 5.565984247689457001e-03 2.676960761148618889e-02 2.699815134612246204e-02
1.519411458960173190e-02 6.560458710477352212e-03 2.679274160846520370e-02 2.703090951815818530e-02
1.641189827755293665e-02 7.893904879212465184e-03 2.675132835794850894e-02 2.700127913643084882e-02
1.759219995064770919e-02 9.430308746415540580e-03 2.664560464802856465e-02 2.691031723420827734e-02
1.873441306482622262e-02 1.108842500267741282e-02 2.647662683866741293e-02 2.675960252485765078e-02
1.983842443221961113e-02 1.282104678524527246e-02 2.624729520740818126e-02 2.655122671754008012e-02
2.090463309653785642e-02 1.459948302499827245e-02 2.596085266215200638e-02 2.628778439248260351e-02
2.193396215700439689e-02 1.640509043677773615e-02 2.562097336113582438e-02 2.597236100770065198e-02
2.292786148851011507e-02 1.822489812658744171e-02 2.523178137653953046e-02 2.560851857531688466e-02
2.388829919479508804e-02 2.004930821179265119e-02 2.479785486760750085e-02 2.520027849701666003e-02
2.481773954987591402e-02 2.187083802160718835e-02 2.432422327261830192e-02 2.475210098342910114e-02
2.571910519345989299e-02 2.368339707185222048e-02 2.381635847449355484e-02 2.426886040061089836e-02
2.659572150839181748e-02 2.548184689912051659e-02 2.327738112294116743e-02 2.375581578846543140e-02
2.745124147897563469e-02 2.726171439956005457e-02 2.271195122090362631e-02 2.321857568290375956e-02
2.828954995682345444e-02 2.901898987304063482e-02 2.212817380824523561e-02 2.266305625183775985e-02
